Results	Entity	Line	Column	CheckID	Check Name
      Fixed Value(1) used incorrectly	NextIdx	7469	30	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	Tokens	7502	69	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	NumTokens	7505	74	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	7587	29	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	int_data	7593	27	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	NumTokens	7607	19	RECOMMENDED_08	Magic Numbers
      Fixed Value(2) used incorrectly	GetSafetyThreadStackSize	7634	71	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	always_deprecated	7794	29	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	always_unavailable	7805	30	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	always_deprecated	7884	25	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	always_unavailable	7888	26	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	7893	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	D	7897	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(8) used incorrectly	SmallVector	7899	34	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8125	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		8133	9	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8138	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		8146	9	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8153	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly		8164	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		8166	9	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	CXMod	8272	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly		8281	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	CXMod	8284	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8315	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isDefaultConstructor	8320	64	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8325	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isCopyConstructor	8330	61	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8335	11	RECOMMENDED_08	Magic Numbers
      Fixed Value(1) used incorrectly	isMoveConstructor	8340	61	RECOMMENDED_08	Magic Numbers
      Fixed Value(0) used incorrectly	kind	8345	11	RECOMMENDED_08	Magic Numbers
